team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playoffGame
TOR,2014,TOR,2014020001,11,13,0,20141008,Team Level,all,0.4273,0.4957,0.4405,3600.0,26.522,2.174,1.781,6.627,0.851,14.897,10.67,2.122,2.088,2.039,27.0,10.0,20.0,57.0,3.0,1.0,0.0,6.0,0.0,14.0,13.0,24.0,34.0,2.0,4.0,26.0,35.0,10.0,13.0,27.0,9.0,1.0,0.865,1.106,0.203,1.0,2.0,0.0,55.133,37.0,35.832,8.0,0.389,0.119,0.119,2.444,2.354,2.313,33.274,2.914,2.191,7.616,1.097,18.517,14.666,2.798,3.066,2.945,32.0,15.0,11.0,58.0,4.0,2.0,0.0,6.0,2.0,16.0,17.0,28.0,43.0,2.0,6.0,37.0,21.0,9.0,11.0,36.0,8.0,3.0,1.091,0.929,0.894,3.0,1.0,0.0,60.409,47.0,49.023,9.0,0.48,0.681,0.757,2.638,2.772,2.693,0
PHI,2014,PHI,2014020002,4,24,1,20141008,Team Level,all,0.4688,0.4314,0.4028,3600.0,20.905,1.62,1.273,5.12,0.646,10.887,9.454,1.606,1.642,1.629,20.0,9.0,15.0,44.0,1.0,0.0,0.0,8.0,0.0,11.0,9.0,19.0,28.0,4.0,11.0,25.0,26.0,9.0,8.0,23.0,4.0,2.0,0.358,0.414,0.847,0.0,0.0,1.0,43.948,29.0,28.846,3.0,0.286,0.0,0.0,1.906,1.932,1.894,30.103,1.836,1.726,7.532,0.974,17.964,12.968,1.807,1.814,1.785,33.0,10.0,15.0,58.0,2.0,1.0,1.0,8.0,1.0,13.0,18.0,31.0,41.0,5.0,13.0,36.0,23.0,7.0,6.0,37.0,5.0,1.0,0.809,0.542,0.486,0.0,1.0,1.0,58.124,43.0,43.213,0.0,0.357,0.486,0.51,1.684,1.658,1.639,0
CGY,2014,CGY,2014020003,23,26,0,20141008,Team Level,all,0.3669,0.4737,0.4507,3600.0,22.94,1.658,1.457,5.537,0.763,13.176,9.408,1.645,1.566,1.554,25.0,7.0,13.0,45.0,2.0,2.0,0.0,4.0,1.0,12.0,11.0,23.0,30.0,5.0,10.0,43.0,32.0,7.0,8.0,24.0,8.0,0.0,0.694,0.964,0.0,1.0,1.0,0.0,42.342,32.0,30.068,5.0,0.306,0.215,0.253,1.711,1.622,1.615,27.8,2.861,1.563,6.28,0.869,14.628,12.798,2.841,2.967,2.945,33.0,6.0,11.0,50.0,4.0,1.0,0.0,6.0,1.0,12.0,15.0,29.0,35.0,6.0,12.0,27.0,16.0,4.0,7.0,34.0,3.0,2.0,1.054,0.256,1.551,1.0,1.0,2.0,53.93,39.0,41.784,4.0,0.336,0.043,0.043,3.154,3.281,3.257,0
S.J,2014,S.J,2014020004,28,29,1,20141008,Team Level,all,0.4877,0.4603,0.4592,3600.0,33.079,2.48,2.397,8.248,1.092,17.725,13.058,2.449,2.69,2.656,30.0,15.0,13.0,58.0,4.0,2.0,0.0,7.0,1.0,16.0,15.0,26.0,41.0,6.0,15.0,42.0,22.0,2.0,9.0,39.0,3.0,3.0,1.067,0.409,1.004,1.0,1.0,2.0,64.424,45.0,49.27,5.0,0.533,0.275,0.275,2.738,2.973,2.949,38.204,2.605,2.328,9.132,1.224,21.563,16.148,2.486,2.453,2.335,34.0,19.0,15.0,68.0,0.0,3.0,0.0,7.0,3.0,12.0,28.0,34.0,53.0,5.0,13.0,29.0,30.0,4.0,13.0,42.0,9.0,2.0,0.896,1.038,0.671,0.0,0.0,0.0,61.719,53.0,48.718,9.0,0.499,0.807,0.807,2.296,2.14,2.109,0
BUF,2014,BUF,2014020005,16,20,0,20141009,Team Level,all,0.4742,0.3333,0.3708,3600.0,24.275,2.661,1.795,5.236,0.745,12.863,9.699,2.583,2.555,2.478,22.0,11.0,6.0,39.0,1.0,1.0,0.0,6.0,1.0,7.0,17.0,21.0,32.0,5.0,10.0,29.0,16.0,6.0,5.0,21.0,9.0,3.0,0.72,1.054,0.888,0.0,0.0,1.0,37.559,33.0,31.89,4.0,0.385,0.395,0.395,2.652,2.529,2.503,40.487,2.95,2.944,8.877,1.253,23.573,16.402,2.885,3.052,2.985,40.0,16.0,22.0,78.0,3.0,1.0,1.0,10.0,1.0,20.0,21.0,37.0,53.0,2.0,4.0,28.0,15.0,3.0,3.0,47.0,8.0,1.0,1.162,0.966,0.823,2.0,0.0,1.0,80.256,56.0,57.73,1.0,0.644,0.823,0.823,2.771,2.896,2.834,0
PHI,2014,PHI,2014020006,4,6,0,20141009,Team Level,all,0.463,0.562,0.5806,3600.0,37.735,2.937,2.406,8.921,1.258,21.486,16.992,2.843,2.794,2.704,39.0,15.0,14.0,68.0,4.0,2.0,0.0,9.0,1.0,20.0,18.0,35.0,50.0,3.0,6.0,32.0,30.0,5.0,6.0,43.0,8.0,3.0,1.146,1.005,0.785,1.0,2.0,1.0,63.368,54.0,50.476,5.0,0.533,0.29,0.29,3.18,3.032,2.947,28.009,3.406,2.066,6.562,1.093,15.048,10.825,3.354,3.661,3.605,26.0,13.0,14.0,53.0,6.0,4.0,0.0,5.0,0.0,12.0,12.0,20.0,33.0,5.0,10.0,24.0,36.0,5.0,4.0,25.0,11.0,3.0,0.703,1.457,1.246,1.0,4.0,1.0,58.562,39.0,42.671,2.0,0.472,0.506,0.506,3.371,3.637,3.6,0
PIT,2014,PIT,2014020007,1,10,0,20141009,Team Level,all,0.382,0.5505,0.5506,3600.0,35.136,3.133,2.656,7.242,1.029,20.387,14.553,3.056,3.156,3.079,39.0,10.0,11.0,60.0,6.0,1.0,0.0,7.0,4.0,18.0,13.0,33.0,43.0,7.0,15.0,38.0,34.0,7.0,8.0,34.0,13.0,2.0,0.962,1.629,0.541,3.0,2.0,1.0,63.482,49.0,50.536,5.0,0.571,0.191,0.191,3.513,3.537,3.471,30.76,5.068,2.409,6.197,1.03,14.673,10.623,4.863,5.028,4.826,29.0,11.0,9.0,49.0,4.0,4.0,0.0,4.0,2.0,11.0,15.0,25.0,36.0,5.0,13.0,34.0,33.0,5.0,5.0,23.0,10.0,7.0,0.761,1.284,3.023,0.0,0.0,4.0,46.749,40.0,39.045,2.0,0.558,0.891,0.891,4.735,4.712,4.618,0
MTL,2014,MTL,2014020008,13,19,1,20141009,Team Level,all,0.367,0.4144,0.4,3900.0,21.951,1.545,1.553,4.783,0.677,11.618,9.824,1.417,1.555,1.427,24.0,6.0,16.0,46.0,1.0,3.0,0.0,7.0,1.0,10.0,8.0,23.0,29.0,8.0,19.0,39.0,29.0,5.0,5.0,25.0,3.0,2.0,0.623,0.343,0.579,1.0,0.0,0.0,45.667,30.0,29.688,5.0,0.35,0.597,0.597,1.298,1.31,1.299,31.853,2.665,2.161,7.292,1.026,18.095,13.76,2.597,2.654,2.585,30.0,15.0,20.0,65.0,1.0,1.0,0.0,10.0,2.0,16.0,15.0,29.0,44.0,8.0,19.0,34.0,30.0,4.0,6.0,33.0,12.0,0.0,1.246,1.419,0.0,0.0,1.0,0.0,65.394,45.0,45.684,4.0,0.472,0.15,0.15,2.988,2.974,2.91,0
BOS,2014,BOS,2014020009,24,25,1,20141009,Team Level,all,0.5575,0.3867,0.4107,3600.0,16.953,2.069,0.941,3.229,0.554,9.236,6.971,1.65,2.091,1.672,17.0,6.0,6.0,29.0,1.0,0.0,0.0,4.0,2.0,10.0,6.0,16.0,22.0,5.0,10.0,25.0,18.0,1.0,9.0,18.0,1.0,4.0,0.489,0.116,1.464,1.0,0.0,0.0,29.354,23.0,23.182,4.0,0.254,0.0,0.0,2.323,2.348,1.912,23.334,1.642,1.425,5.674,0.808,13.44,10.011,1.633,1.591,1.582,24.0,9.0,13.0,46.0,2.0,0.0,0.0,4.0,2.0,13.0,12.0,22.0,31.0,5.0,10.0,31.0,22.0,7.0,6.0,24.0,9.0,0.0,0.617,1.025,0.0,0.0,2.0,0.0,45.197,33.0,32.445,4.0,0.304,0.0,0.0,1.946,1.885,1.873,0
T.B,2014,T.B,2014020010,7,15,0,20141009,Team Level,all,0.7011,0.6129,0.6286,3671.0,32.687,3.786,2.479,6.705,0.965,17.745,12.32,3.517,3.705,3.438,32.0,12.0,13.0,57.0,3.0,3.0,1.0,9.0,1.0,17.0,11.0,29.0,41.0,5.0,10.0,36.0,28.0,9.0,8.0,28.0,12.0,4.0,0.918,1.569,1.298,1.0,1.0,1.0,55.938,44.0,43.309,3.0,0.574,1.06,1.06,3.3,3.206,3.094,19.154,1.614,1.288,4.294,0.556,10.36,7.887,1.502,1.658,1.545,21.0,5.0,10.0,36.0,2.0,1.0,1.0,4.0,0.0,9.0,10.0,19.0,24.0,10.0,20.0,31.0,21.0,10.0,5.0,21.0,2.0,3.0,0.391,0.284,0.939,1.0,0.0,1.0,36.91,26.0,26.644,1.0,0.299,0.469,0.469,1.444,1.497,1.482,0
