Resultat,Resultat_away_3,Resultat_away_2,Resultat_away_1,AwayOdds,DrawOdds,HomeOdds,giveawaysAgainst_away_3,giveawaysAgainst_away_2,giveawaysAgainst_away_1,takeawaysAgainst_away_3,takeawaysAgainst_away_2,takeawaysAgainst_away_1,hitsAgainst_away_3,hitsAgainst_away_2,hitsAgainst_away_1,faceOffsWonAgainst_away_3,faceOffsWonAgainst_away_2,faceOffsWonAgainst_away_1,penalityMinutesAgainst_away_3,penalityMinutesAgainst_away_2,penalityMinutesAgainst_away_1,penaltiesAgainst_away_3,penaltiesAgainst_away_2,penaltiesAgainst_away_1,goalsAgainst_away_3,goalsAgainst_away_2,goalsAgainst_away_1,shotAttemptsAgainst_away_3,shotAttemptsAgainst_away_2,shotAttemptsAgainst_away_1,xGoalsAgainst_away_3,xGoalsAgainst_away_2,xGoalsAgainst_away_1,giveawaysFor_away_3,giveawaysFor_away_2,giveawaysFor_away_1,takeawaysFor_away_3,takeawaysFor_away_2,takeawaysFor_away_1,hitsFor_away_3,hitsFor_away_2,hitsFor_away_1,faceOffsWonFor_away_3,faceOffsWonFor_away_2,faceOffsWonFor_away_1,penalityMinutesFor_away_3,penalityMinutesFor_away_2,penalityMinutesFor_away_1,penaltiesFor_away_3,penaltiesFor_away_2,penaltiesFor_away_1,goalsFor_away_3,goalsFor_away_2,goalsFor_away_1,shotAttemptsFor_away_3,shotAttemptsFor_away_2,shotAttemptsFor_away_1,shotsOnGoalFor_away_3,shotsOnGoalFor_away_2,shotsOnGoalFor_away_1,xGoalsFor_away_3,xGoalsFor_away_2,xGoalsFor_away_1,gameDate,opposingTeam,playerTeam,gameId,season,index,Resultat_home_3,Resultat_home_2,Resultat_home_1,AwayOdds,DrawOdds,HomeOdds,giveawaysAgainst_home_3,giveawaysAgainst_home_2,giveawaysAgainst_home_1,takeawaysAgainst_home_3,takeawaysAgainst_home_2,takeawaysAgainst_home_1,hitsAgainst_home_3,hitsAgainst_home_2,hitsAgainst_home_1,faceOffsWonAgainst_home_3,faceOffsWonAgainst_home_2,faceOffsWonAgainst_home_1,penalityMinutesAgainst_home_3,penalityMinutesAgainst_home_2,penalityMinutesAgainst_home_1,penaltiesAgainst_home_3,penaltiesAgainst_home_2,penaltiesAgainst_home_1,goalsAgainst_home_3,goalsAgainst_home_2,goalsAgainst_home_1,shotAttemptsAgainst_home_3,shotAttemptsAgainst_home_2,shotAttemptsAgainst_home_1,xGoalsAgainst_home_3,xGoalsAgainst_home_2,xGoalsAgainst_home_1,giveawaysFor_home_3,giveawaysFor_home_2,giveawaysFor_home_1,takeawaysFor_home_3,takeawaysFor_home_2,takeawaysFor_home_1,hitsFor_home_3,hitsFor_home_2,hitsFor_home_1,faceOffsWonFor_home_3,faceOffsWonFor_home_2,faceOffsWonFor_home_1,penalityMinutesFor_home_3,penalityMinutesFor_home_2,penalityMinutesFor_home_1,penaltiesFor_home_3,penaltiesFor_home_2,penaltiesFor_home_1,goalsFor_home_3,goalsFor_home_2,goalsFor_home_1,shotAttemptsFor_home_3,shotAttemptsFor_home_2,shotAttemptsFor_home_1,shotsOnGoalFor_home_3,shotsOnGoalFor_home_2,shotsOnGoalFor_home_1,xGoalsFor_home_3,xGoalsFor_home_2,xGoalsFor_home_1,gameDate,opposingTeam,playerTeam,gameId,season
Loss,,,1.0,2.61,3.89,2.41,,,2.0,,,4.0,,,18.0,,,31.0,,,15.0,,,6.0,,,2.0,,,52.0,,,2.463,,,2.0,,,5.0,,,21.0,,,25.0,,,19.0,,,8.0,,,3.0,,,43.0,,,25.0,,,2.423,20141011,0,20,2014020025,2014,2316,,,,2.61,3.89,2.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141011,0,20,2014020025,2014
Draw,,,0.0,2.68,3.83,2.35,,,5.0,,,6.0,,,29.0,,,31.0,,,13.0,,,5.0,,,5.0,,,48.0,,,3.897,,,3.0,,,5.0,,,28.0,,,30.0,,,15.0,,,6.0,,,2.0,,,44.0,,,26.0,,,1.319,20141021,0,6,2014020080,2014,697,,,0.0,2.68,3.83,2.35,,,2.0,,,9.0,,,6.0,,,38.0,,,11.0,,,4.0,,,4.0,,,48.0,,,4.695,,,9.0,,,1.0,,,10.0,,,33.0,,,13.0,,,5.0,,,2.0,,,50.0,,,37.0,,,3.565,20141021,0,6,2014020080,2014
Loss,,0.6666666666666666,1.0,2.92,3.95,2.15,,4.666666666666667,7.0,,5.0,5.0,,18.333333333333332,8.0,,31.666666666666668,33.0,,11.333333333333334,6.0,,4.666666666666667,3.0,,3.3333333333333335,3.0,,49.666666666666664,49.0,,3.1449999999999996,3.075,,2.0,1.0,,6.666666666666667,10.0,,19.333333333333332,9.0,,27.333333333333332,27.0,,14.666666666666666,10.0,,6.333333333333333,5.0,,3.0,4.0,,42.333333333333336,40.0,,25.333333333333332,25.0,,2.4163333333333337,3.507,20141025,0,13,2014020108,2014,1511,,0.6666666666666666,1.0,2.92,3.95,2.15,,6.666666666666667,5.0,,6.0,4.0,,14.333333333333334,16.0,,28.333333333333332,22.0,,8.333333333333334,4.0,,3.6666666666666665,2.0,,2.6666666666666665,1.0,,63.333333333333336,55.0,,2.557,1.398,,10.333333333333334,5.0,,4.666666666666667,6.0,,25.666666666666668,24.0,,36.333333333333336,37.0,,9.0,8.0,,4.0,4.0,,3.3333333333333335,2.0,,54.666666666666664,60.0,,32.0,36.0,,2.574,2.605,20141025,0,13,2014020108,2014
Loss,,0.3333333333333333,0.0,2.7,3.77,2.34,,9.666666666666666,17.0,,4.666666666666667,3.0,,20.666666666666668,25.0,,35.0,41.0,,9.333333333333334,9.0,,3.6666666666666665,3.0,,3.6666666666666665,3.0,,49.333333333333336,51.0,,3.396333333333333,3.217,,5.333333333333333,12.0,,6.666666666666667,5.0,,21.333333333333332,27.0,,29.666666666666668,32.0,,10.666666666666666,7.0,,4.333333333333333,2.0,,2.3333333333333335,1.0,,50.666666666666664,68.0,,28.666666666666668,35.0,,2.4650000000000003,2.569,20141108,0,11,2014020204,2014,1284,0.4,0.6666666666666666,1.0,2.7,3.77,2.34,8.8,8.333333333333334,12.0,11.6,11.0,16.0,30.0,30.333333333333332,26.0,33.0,32.0,31.0,9.4,11.0,6.0,4.4,5.0,3.0,2.6,2.0,2.0,65.0,63.0,87.0,3.2914000000000003,3.2566666666666664,5.622,9.0,11.0,12.0,10.6,13.666666666666666,14.0,31.4,33.0,28.0,28.6,31.333333333333332,34.0,10.6,9.666666666666666,8.0,5.0,4.333333333333333,4.0,2.2,2.6666666666666665,3.0,54.2,57.666666666666664,44.0,29.0,32.333333333333336,27.0,2.9368,3.266,3.093,20141108,0,11,2014020204,2014
Draw,0.4,0.3333333333333333,0.0,3.49,3.99,1.9,9.6,13.666666666666666,17.0,6.8,8.0,16.0,24.6,25.333333333333332,43.0,35.8,39.0,43.0,9.4,6.333333333333333,4.0,3.8,2.6666666666666665,2.0,3.6,3.6666666666666665,5.0,50.6,51.0,53.0,3.0271999999999997,2.925333333333333,2.484,5.6,7.666666666666667,10.0,7.4,9.0,12.0,24.8,25.0,39.0,27.6,27.666666666666668,24.0,11.0,7.0,4.0,4.6,3.0,2.0,2.8,3.0,4.0,51.0,56.0,60.0,29.2,31.666666666666668,35.0,2.7255999999999996,3.2953333333333332,3.81,20141115,0,1,2014020255,2014,124,0.8,1.0,1.0,3.49,3.99,1.9,4.0,2.6666666666666665,1.0,3.0,2.6666666666666665,0.0,29.2,28.666666666666668,31.0,27.6,27.333333333333332,28.0,12.4,11.333333333333334,8.0,5.6,5.666666666666667,4.0,1.8,1.0,0.0,49.6,46.666666666666664,38.0,2.1233999999999997,1.4403333333333332,1.174,5.0,3.3333333333333335,2.0,5.0,5.333333333333333,8.0,29.0,27.0,17.0,31.8,31.0,30.0,12.4,8.666666666666666,8.0,5.6,4.333333333333333,4.0,4.4,5.333333333333333,5.0,53.4,53.333333333333336,66.0,30.6,30.0,34.0,2.9682,2.796333333333333,2.342,20141115,0,1,2014020255,2014
Loss,0.3,0.16666666666666666,0.5,3.06,3.88,2.06,11.8,15.666666666666666,13.0,7.2,8.333333333333334,6.0,29.8,37.333333333333336,44.0,36.4,39.333333333333336,34.0,8.8,8.333333333333334,12.0,3.8,3.6666666666666665,6.0,3.6,3.3333333333333335,2.0,53.4,56.666666666666664,66.0,3.1572,2.938,3.113,6.0,8.666666666666666,4.0,7.0,6.666666666666667,3.0,26.8,32.333333333333336,31.0,27.6,27.0,25.0,8.8,6.333333333333333,8.0,3.8,2.6666666666666665,4.0,2.6,2.3333333333333335,2.0,52.6,59.666666666666664,51.0,30.4,33.666666666666664,31.0,2.937,3.2863333333333333,3.48,20141126,0,7,2014020326,2014,821,0.8,0.6666666666666666,1.0,3.06,3.88,2.06,5.6,5.666666666666667,8.0,6.2,7.0,6.0,19.0,21.0,18.0,26.8,27.666666666666668,29.0,7.0,6.0,4.0,3.2,3.0,2.0,2.0,1.6666666666666667,1.0,60.0,61.333333333333336,62.0,2.6894,2.098333333333333,1.752,7.6,8.333333333333334,7.0,7.6,6.666666666666667,10.0,23.0,21.666666666666668,23.0,29.8,28.333333333333332,30.0,8.2,6.0,6.0,3.8,3.0,3.0,3.4,2.6666666666666665,2.0,51.6,50.666666666666664,57.0,30.0,29.666666666666668,28.0,2.8747999999999996,2.3576666666666664,2.489,20141126,0,7,2014020326,2014
Win,0.3,0.16666666666666666,0.0,2.63,3.79,2.4,12.6,13.0,9.0,7.0,9.0,5.0,28.2,36.0,21.0,37.0,37.0,34.0,7.0,6.666666666666667,4.0,3.2,3.3333333333333335,2.0,3.4,3.6666666666666665,4.0,53.6,56.0,49.0,3.0282000000000004,2.949666666666667,3.252,6.6,6.666666666666667,6.0,7.2,7.0,6.0,25.0,29.666666666666668,19.0,26.2,24.0,23.0,7.4,6.666666666666667,8.0,3.4,3.3333333333333335,4.0,2.8,3.0,3.0,52.6,51.666666666666664,44.0,29.0,28.333333333333332,19.0,3.0818000000000003,3.111,2.043,20141128,0,4,2014020333,2014,477,0.6,0.3333333333333333,1.0,2.63,3.79,2.4,6.0,6.0,5.0,4.6,5.333333333333333,7.0,29.4,28.0,30.0,30.2,25.333333333333332,20.0,11.0,10.333333333333334,15.0,4.6,4.666666666666667,6.0,2.6,3.0,2.0,56.8,52.333333333333336,47.0,2.9292000000000002,3.1670000000000003,2.495,8.2,9.333333333333334,9.0,5.0,5.666666666666667,6.0,29.4,30.333333333333332,29.0,33.6,33.666666666666664,36.0,12.0,11.666666666666666,13.0,5.4,5.333333333333333,5.0,3.4,3.0,4.0,58.0,61.0,60.0,32.0,34.333333333333336,37.0,2.9107999999999996,2.7876666666666665,3.185,20141128,0,4,2014020333,2014
Loss,0.3,0.5,1.0,3.23,3.85,2.05,12.6,9.666666666666666,7.0,6.8,5.0,4.0,31.2,29.333333333333332,23.0,35.8,31.666666666666668,27.0,7.8,8.666666666666666,10.0,3.6,4.333333333333333,5.0,2.8,2.0,0.0,55.2,57.333333333333336,57.0,2.7754000000000003,2.7253333333333334,1.811,8.2,6.333333333333333,9.0,6.4,5.0,6.0,26.6,22.333333333333332,17.0,24.8,22.666666666666668,20.0,7.8,9.333333333333334,12.0,3.4,4.333333333333333,5.0,2.6,2.6666666666666665,3.0,54.6,48.333333333333336,50.0,28.8,24.666666666666668,24.0,2.8918,2.6933333333333334,2.557,20141206,0,25,2014020393,2014,2904,0.4,0.6666666666666666,0.0,3.23,3.85,2.05,7.6,8.0,8.0,3.4,3.3333333333333335,5.0,19.2,19.666666666666668,16.0,34.6,35.0,37.0,7.8,6.0,6.0,3.6,3.0,3.0,4.0,3.6666666666666665,5.0,53.0,54.333333333333336,49.0,3.0456000000000003,2.622666666666667,2.214,6.2,7.0,2.0,4.4,4.666666666666667,4.0,21.8,19.333333333333332,24.0,32.8,32.666666666666664,29.0,9.0,7.333333333333333,6.0,4.2,3.6666666666666665,3.0,3.2,3.6666666666666665,2.0,46.4,44.333333333333336,33.0,27.0,28.333333333333332,24.0,2.4604,2.6136666666666666,2.642,20141206,0,25,2014020393,2014
Win,0.3,0.3333333333333333,0.0,3.09,3.78,2.11,10.0,6.666666666666667,4.0,7.0,4.333333333333333,4.0,30.0,21.0,19.0,34.2,31.333333333333332,33.0,8.4,8.666666666666666,12.0,4.0,4.0,5.0,2.8,2.3333333333333335,3.0,56.4,54.333333333333336,57.0,2.6231999999999998,2.506333333333333,2.456,6.8,6.666666666666667,5.0,6.2,5.333333333333333,4.0,25.0,18.333333333333332,19.0,23.0,22.0,23.0,7.6,8.666666666666666,6.0,3.4,3.6666666666666665,2.0,2.8,2.6666666666666665,2.0,52.0,49.666666666666664,55.0,27.6,24.0,29.0,3.3091999999999997,3.0853333333333333,4.656,20141213,0,26,2014020446,2014,3017,0.3,0.16666666666666666,0.0,3.09,3.78,2.11,10.4,9.666666666666666,9.0,6.2,6.333333333333333,3.0,19.0,17.666666666666668,20.0,32.2,33.0,27.0,7.2,6.333333333333333,5.0,3.0,2.6666666666666665,1.0,2.6,3.0,2.0,61.2,59.666666666666664,60.0,2.5716,2.7883333333333336,2.76,6.6,6.0,7.0,6.4,6.666666666666667,10.0,19.0,15.333333333333334,16.0,29.8,27.333333333333332,24.0,6.4,5.0,9.0,2.6,2.0,3.0,2.4,1.3333333333333333,0.0,46.4,49.333333333333336,46.0,23.6,23.666666666666668,20.0,1.8158,1.893,1.79,20141213,0,26,2014020446,2014
Win,0.5,0.6666666666666666,1.0,2.05,3.81,3.2,7.8,5.666666666666667,6.0,5.0,4.666666666666667,6.0,24.6,19.333333333333332,16.0,31.8,30.333333333333332,31.0,7.6,7.333333333333333,0.0,3.8,3.6666666666666665,1.0,2.0,1.3333333333333333,1.0,56.4,55.666666666666664,53.0,2.4074,1.8906666666666665,1.405,5.4,5.666666666666667,3.0,5.2,5.666666666666667,7.0,20.4,17.333333333333332,16.0,23.6,23.333333333333332,27.0,7.2,6.666666666666667,2.0,3.2,2.6666666666666665,1.0,3.0,3.3333333333333335,5.0,47.0,46.666666666666664,35.0,25.2,25.333333333333332,23.0,2.9497999999999998,3.075333333333333,2.013,20141214,0,2,2014020450,2014,249,0.2,0.3333333333333333,0.0,2.05,3.81,3.2,8.8,7.333333333333333,9.0,5.4,5.333333333333333,9.0,23.8,25.0,23.0,30.8,30.666666666666668,34.0,9.6,11.333333333333334,8.0,4.0,4.666666666666667,4.0,3.8,3.3333333333333335,4.0,44.2,41.0,38.0,2.9248,2.7069999999999994,3.054,16.2,17.0,21.0,7.0,6.666666666666667,6.0,28.8,31.0,28.0,29.0,30.666666666666668,33.0,8.8,8.666666666666666,4.0,3.8,3.3333333333333335,2.0,1.4,2.0,2.0,51.2,46.666666666666664,47.0,25.6,24.666666666666668,23.0,2.4162,2.4596666666666667,1.939,20141214,0,2,2014020450,2014
