Date,Away Team,Home Odds,Draw Odds,Away Odds
20150510,0,2.42,3.55,2.66
20150508,19,1.98,3.67,3.41
20150507,13,2.07,3.71,3.12
20150506,13,2.1,3.64,3.11
20150505,21,2.19,3.68,2.92
20150503,8,2.16,3.65,2.97
20150503,7,2.24,3.61,2.87
20150501,8,2.15,3.64,3.01
20150501,7,2.27,3.67,2.78
20150430,19,2.02,3.71,3.23
20150427,7,2.4,3.63,2.64
20150425,26,2.3,3.57,2.8
20150425,22,2.06,3.71,3.12
20150425,25,1.86,3.83,3.65
20150424,8,2.13,3.6,3.08
20150424,18,2.02,3.66,3.28
20150424,1,1.89,3.87,3.53
20150423,21,2.39,3.6,2.66
20150423,7,2.52,3.56,2.53
20150423,12,2.27,3.6,2.82
20150422,10,2.27,3.69,2.78
20150422,13,2.4,3.58,2.66
20150422,0,2.68,3.56,2.39
20150421,22,1.98,3.82,3.26
20150421,19,2.16,3.7,2.93
20150421,7,2.57,3.69,2.44
20150420,14,2.27,3.59,2.83
20150420,0,2.72,3.6,2.34
20150419,13,2.34,3.56,2.75
20150419,19,2.15,3.59,3.06
20150418,3,2.12,3.79,2.96
20150418,1,1.89,3.89,3.49
20150418,25,1.85,3.86,3.72
20150417,23,2.04,3.67,3.22
20150417,21,2.4,3.55,2.67
20150417,18,2.18,3.7,2.91
20150417,12,2.18,3.68,2.94
20150416,8,2.16,3.75,2.93
20150416,25,1.98,3.84,3.26
20150416,1,1.9,3.88,3.48
20150415,21,2.54,3.47,2.57
20150415,18,2.13,3.7,3.0
20150415,12,2.17,3.84,2.84
20150411,2,1.59,4.41,4.67
20150411,10,4.28,4.2,1.66
20150411,21,2.7,3.55,2.37
20150411,22,2.19,3.8,2.83
20150411,24,2.21,3.7,2.91
20150411,1,6.14,5.08,1.41
20150411,25,2.27,3.68,2.77
20150411,6,1.99,3.68,3.34
20150411,20,1.98,4.09,3.17
20150411,13,3.6,3.82,1.87
20150411,28,2.04,3.76,3.18
20150411,8,2.03,3.67,3.21
20150411,23,2.08,3.72,3.07
20150411,18,3.24,3.72,2.03
20150411,0,2.11,3.76,3.05
20150410,16,1.45,4.83,5.74
